time/total_timesteps,train/loss,train/explained_variance,train/n_updates,train/dsc_loss_mean,train/pos_dsc_loss_mean,train/neg_dsc_loss_mean,train/key_loss_mean,train/door_loss_mean,train/pos_loss_mean,train/key_dist_mean,train/door_dist_mean,train/goal_dist_mean,train/n_valid_samples_mean,train/n_valid_pos_samples_mean,train/n_valid_neg_samples_mean,train/policy_loss_mean,train/value_loss_mean,train/entropy_loss_mean,train/adv_mean,train/adv_std_mean,train/clip_fraction_mean,train/approx_kl_div_mean,
614400,-0.13433575630187988,0.5376074314117432,300,0.008501644033458433,0.00479856183847005,0.012204726278980615,0.0,0.0,0.0,0.0,0.0,0.0,970.125,485.0625,485.0625,-0.0816707901249174,0.002046968333161203,-0.10256935842335224,0.07694272830849513,0.7303906744346023,0.0892333984375,0.05473176762461662,
622592,0.01862848363816738,0.5331121683120728,304,0.0081506515161891,0.004395019826915814,0.011906283190910472,0.0,0.0,0.0,0.0,0.0,0.0,968.5,484.25,484.25,0.044073567962186644,0.0024998253538797144,-0.12186408613342792,-0.05019732304936042,0.7805359913036227,0.0701904296875,0.020646054297685623,
630784,0.021718274801969528,0.4691249132156372,308,0.009119585462030955,0.005368375102989376,0.012870795903381804,0.0,0.0,0.0,0.0,0.0,0.0,969.625,484.8125,484.8125,0.019670275734824827,0.0020361627284728456,-0.11934591305907816,-0.02704123100556899,0.7327852081507444,0.0931396484375,0.028127135708928108,
638976,-0.14955905079841614,0.623392254114151,312,0.008951516540037119,0.004997727788577322,0.01290530529672651,0.0,0.0,0.0,0.0,0.0,0.0,967.859375,483.9375,483.921875,-0.13380167714785784,0.001392899179336382,-0.09869686129968613,0.12948752124793828,0.6074288729578257,0.0584716796875,0.017836838960647583,
647168,-0.05816546082496643,0.7153948843479156,316,0.006910947518917965,0.003812310585999512,0.010009584512772562,0.0,0.0,0.0,0.0,0.0,0.0,967.703125,483.875,483.828125,-0.05318425437872065,0.001101673045923235,-0.0849665580317378,0.05161963435966754,0.5376255908049643,0.046630859375,0.011474133469164371,
655360,-0.23371894657611847,0.7274558246135712,320,0.007600010616442887,0.004209517042909283,0.010990504149276603,0.0,0.0,0.0,0.0,0.0,0.0,967.234375,483.625,483.609375,-0.23735916567966342,0.001106509926103172,-0.06982234690804034,0.23437313898466527,0.5533128851093352,0.051544189453125,0.01595989800989628,
663552,0.27433541417121887,0.45927613973617554,324,0.008048657888139132,0.004613258886820404,0.011484056853760194,0.0,0.0,0.0,0.0,0.0,0.0,970.609375,485.3125,485.296875,0.3055086643435061,0.008407908084336668,-0.09906144393607974,-0.3046979820355773,1.615660760551691,0.069580078125,0.04724712669849396,
671744,-0.07324659079313278,0.22301632165908813,328,0.006978015995628084,0.0036737542686751112,0.010282277548640195,0.0,0.0,0.0,0.0,0.0,0.0,966.984375,483.5,483.484375,-0.05904081668268191,0.002042576055828249,-0.08779406943358481,0.05642731479019858,0.9008638923987746,0.048065185546875,0.012222501449286938,
679936,1.3438622951507568,0.5065455436706543,332,0.009370010056954925,0.006785597766793217,0.011954422324834013,0.0,0.0,0.0,0.0,0.0,0.0,987.234375,493.625,493.609375,1.3193881008774042,0.019118290510959923,-0.2587851795833558,-1.3349259700626135,2.124833405017853,0.192413330078125,0.13331638276576996,
688128,-0.1363297402858734,0.4966122508049011,336,0.008185763954315917,0.004407345319123124,0.011964182603037443,0.0,0.0,0.0,0.0,0.0,0.0,968.625,484.3125,484.3125,-0.18398162117227912,0.007025626759059378,-0.0952263722429052,0.18530525243841112,0.7547813700512052,0.0360107421875,0.010620148852467537,
