#{"t_start": 1746566952.03899, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0.973281,19,912.380306
0.957812,30,912.664569
0.967656,23,929.842908
0.969063,22,930.034687
0.969063,22,930.213064
0.953594,33,930.497362
0.9775,16,930.641709
0.9775,16,930.798288
0.970469,21,930.996009
0.983125,12,931.097711
0.973281,19,931.258099
0.971875,20,931.421598
0.981719,13,931.524709
0.976094,17,931.668546
0.976094,17,931.834415
0.974688,18,932.009879
0.973281,19,932.172111
0.970469,21,932.40691
0.976094,17,932.618289
0.971875,20,932.852436
0.957812,30,933.117873
0.974688,18,933.271
0.974688,18,933.429467
0.9775,16,933.590845
0.969063,22,933.793417
0.974688,18,933.943151
0.970469,21,934.169133
0.970469,21,934.340149
0.976094,17,949.197602
0.969063,22,949.433048
0.978906,15,949.559663
0.956406,31,949.822361
0.967656,23,950.018881
0.963437,26,950.224949
0.970469,21,950.405041
0.976094,17,950.543836
0.976094,17,950.681122
0.969063,22,950.855628
0.981719,13,950.959632
0.974688,18,951.119256
0.980313,14,951.241371
0.978906,15,951.360688
0.963437,26,951.564623
0.973281,19,951.718658
0.9775,16,951.854453
0.9775,16,951.981814
0.970469,21,952.154523
0.974688,18,952.30193
0.974688,18,952.443786
0.983125,12,952.538933
0.976094,17,952.669602
0.970469,21,952.846693
0.978906,15,952.966827
0.96625,24,953.171615
0.973281,19,953.336901
0.969063,22,967.40928
0.971875,20,967.587956
0.984531,11,967.679588
0.967656,23,967.879716
0.981719,13,968.010087
0.974688,18,968.164549
0.970469,21,968.353237
0.978906,15,968.490536
0.974688,18,968.636772
0.976094,17,968.798355
0.969063,22,968.983261
0.984531,11,969.071156
0.976094,17,969.214912
0.969063,22,969.40825
0.969063,22,969.588605
0.969063,22,969.786171
0.978906,15,969.919286
0.971875,20,970.127394
0.970469,21,970.313993
0.976094,17,970.489225
0.967656,23,970.703618
0.96625,24,970.904559
0.976094,17,971.05252
0.973281,19,971.208342
0.970469,21,971.378239
0.973281,19,971.530407
0.974688,18,971.674753
0.960625,28,986.092154
0.983125,12,986.202576
0.983125,12,986.30315
0.976094,17,986.447908
0.973281,19,986.612554
0.973281,19,986.777995
0.978906,15,986.910749
0.983125,12,987.012185
0.974688,18,987.184104
0.981719,13,987.298605
0.981719,13,987.40588
0.971875,20,987.57269
0.971875,20,987.775085
0.974688,18,987.957107
0.970469,21,988.143611
0.978906,15,988.286682
0.980313,14,988.411678
0.964844,25,988.665129
0.964844,25,988.909373
0.96625,24,989.137617
0.96625,24,989.338034
0.9775,16,989.49865
0.969063,22,989.703295
0.976094,17,989.86218
0.967656,23,990.060041
0.973281,19,990.212092
0.973281,19,990.382049
0.984531,11,990.502199
0.981719,13,990.619686
0.978906,15,1004.924042
0.973281,19,1005.098532
0.971875,20,1005.329526
0.976094,17,1005.543601
0.9775,16,1005.68853
0.970469,21,1005.897383
0.9775,16,1006.056144
0.970469,21,1006.267634
0.9775,16,1006.446897
0.983125,12,1006.571547
0.978906,15,1006.708453
0.976094,17,1006.87101
0.980313,14,1007.035071
0.980313,14,1007.194334
0.983125,12,1007.307743
0.969063,22,1007.547148
0.9775,16,1007.707034
0.973281,19,1007.897681
0.978906,15,1008.0362
0.974688,18,1008.254328
0.971875,20,1008.433683
0.981719,13,1008.531958
0.96625,24,1008.776955
0.973281,19,1008.950901
0.984531,11,1009.060114
0.983125,12,1009.160007
0.974688,18,1009.31519
0.959219,29,1009.55996
0.976094,17,1009.72231
0.971875,20,1009.901552
0.980313,14,1023.442542
0.9775,16,1023.610631
0.971875,20,1023.856643
0.973281,19,1024.09082
0.978906,15,1024.260295
0.978906,15,1024.430899
0.978906,15,1024.581931
0.976094,17,1024.802936
0.976094,17,1024.9541
0.976094,17,1025.117175
0.974688,18,1025.354276
0.962031,27,1025.624306
0.970469,21,1025.864784
0.973281,19,1026.06176
0.970469,21,1026.289305
0.9775,16,1026.423246
0.971875,20,1026.630506
0.983125,12,1026.732466
0.960625,28,1027.034853
0.976094,17,1027.205704
0.974688,18,1027.378588
0.96625,24,1027.621407
0.969063,22,1027.863536
0.978906,15,1028.033954
0.96625,24,1028.264477
0.967656,23,1028.535938
0.970469,21,1028.770598
0.971875,20,1042.334528
0.978906,15,1042.451518
0.973281,19,1042.606244
0.973281,19,1042.765401
0.973281,19,1042.927648
0.976094,17,1043.141731
0.976094,17,1043.321783
0.976094,17,1043.492312
0.957812,30,1043.752879
0.973281,19,1043.902933
0.976094,17,1044.037019
0.9775,16,1044.164821
0.970469,21,1044.336683
0.969063,22,1044.509943
0.971875,20,1044.711775
0.962031,27,1044.98042
0.9775,16,1045.126221
0.980313,14,1045.249696
0.971875,20,1045.409213
0.976094,17,1045.574657
0.949375,36,1045.889683
0.964844,25,1046.114975
0.976094,17,1046.255978
0.974688,18,1046.406563
0.973281,19,1046.602136
0.976094,17,1061.113442
0.978906,15,1061.258331
0.976094,17,1061.418417
0.970469,21,1061.633806
0.969063,22,1061.851558
0.976094,17,1062.022803
0.971875,20,1062.221424
0.978906,15,1062.370153
0.959219,29,1062.62077
0.971875,20,1062.820196
0.974688,18,1062.983824
0.970469,21,1063.165983
0.984531,11,1063.278022
0.976094,17,1063.431203
0.978906,15,1063.545506
0.9775,16,1063.695664
0.985938,10,1063.80105
0.980313,14,1063.933699
0.970469,21,1064.138984
0.970469,21,1064.328498
0.970469,21,1064.515608
0.969063,22,1064.725588
0.971875,20,1064.931189
0.960625,28,1065.167979
0.976094,17,1065.328762
0.980313,14,1065.460272
0.9775,16,1065.64057
0.969063,22,1065.870231
0.9775,16,1082.313097
0.971875,20,1082.607256
0.973281,19,1082.88125
0.980313,14,1083.100577
0.964844,25,1083.488448
0.970469,21,1083.750671
0.974688,18,1083.954705
0.978906,15,1084.152266
0.9775,16,1084.391475
0.973281,19,1084.669278
0.969063,22,1085.00557
0.969063,22,1085.329421
0.964844,25,1085.658974
0.978906,15,1085.930536
0.970469,21,1086.212105
0.976094,17,1086.428959
0.973281,19,1086.661533
0.9775,16,1086.888739
0.971875,20,1087.198507
0.9775,16,1087.395551
0.970469,21,1087.714976
0.978906,15,1087.923604
0.978906,15,1088.10099
0.981719,13,1088.240767
0.969063,22,1088.596453
0.971875,20,1088.926003
0.970469,21,1089.231315
0.973281,19,1089.499708
0.9775,16,1103.072423
0.9775,16,1103.205753
0.970469,21,1103.381841
0.969063,22,1103.562448
0.969063,22,1103.753733
0.978906,15,1103.880116
0.969063,22,1104.098829
0.973281,19,1104.299697
0.9775,16,1104.435705
0.974688,18,1104.590192
0.963437,26,1104.841702
0.96625,24,1105.039728
0.9775,16,1105.163879
0.9775,16,1105.287902
0.976094,17,1105.419504
0.976094,17,1105.549333
0.980313,14,1105.654491
0.976094,17,1105.794284
0.971875,20,1105.953743
0.974688,18,1106.098362
0.969063,22,1106.26687
0.969063,22,1106.455261
0.978906,15,1106.577152
0.974688,18,1106.728294
0.981719,13,1106.840042
0.980313,14,1106.957261
0.971875,20,1107.119139
0.967656,23,1126.672348
0.973281,19,1126.891441
0.963437,26,1127.26513
0.973281,19,1127.499066
0.9775,16,1127.693168
0.971875,20,1127.984936
0.967656,23,1128.249624
0.970469,21,1128.55255
0.96625,24,1128.834797
0.980313,14,1129.028835
0.9775,16,1129.235205
0.9775,16,1129.463359
0.971875,20,1129.724003
0.9775,16,1129.89625
0.973281,19,1130.11424
0.973281,19,1130.320089
0.96625,24,1130.601534
0.973281,19,1130.855093
0.962031,27,1131.151381
0.981719,13,1131.302826
0.964844,25,1131.626097
0.980313,14,1131.79836
0.973281,19,1132.103341
0.973281,19,1132.373743
0.980313,14,1132.582607
0.978906,15,1132.815613
0.976094,17,1133.014707
0.973281,19,1149.902189
0.984531,11,1150.051281
0.974688,18,1150.32769
0.973281,19,1150.58208
0.980313,14,1150.801589
0.967656,23,1151.19763
0.976094,17,1151.467197
0.974688,18,1151.750037
0.942344,41,1152.3403
0.970469,21,1152.638799
0.978906,15,1152.872177
0.976094,17,1153.119172
0.973281,19,1153.364212
0.960625,28,1153.77737
0.978906,15,1154.007802
0.980313,14,1154.250407
0.969063,22,1154.51248
0.970469,21,1154.808767
0.983125,12,1154.971533
0.969063,22,1155.275312
0.974688,18,1155.533013
0.983125,12,1155.694524
0.971875,20,1156.008087
0.964844,25,1156.379077
0.973281,19,1156.625158
0.970469,21,1157.015663
0.978906,15,1157.199859
0.980313,14,1172.435413
0.974688,18,1172.625123
0.969063,22,1172.825969
0.973281,19,1173.018597
0.971875,20,1173.30723
0.9775,16,1173.584306
0.967656,23,1173.838198
0.984531,11,1173.963585
0.973281,19,1174.146085
0.971875,20,1174.341348
0.976094,17,1174.518015
0.973281,19,1174.725739
0.969063,22,1174.920879
0.970469,21,1175.122718
0.971875,20,1175.32252
0.962031,27,1175.6063
0.974688,18,1175.782605
0.9775,16,1176.010015
0.971875,20,1176.203647
0.974688,18,1176.411212
0.971875,20,1176.640416
0.976094,17,1176.843275
0.967656,23,1177.10433
0.964844,25,1177.399402
0.9775,16,1177.606433
0.964844,25,1177.944477
0.960625,28,1192.887398
0.971875,20,1193.222354
0.974688,18,1193.508518
0.976094,17,1193.758429
0.9775,16,1193.93978
0.983125,12,1194.099009
0.976094,17,1194.322139
0.971875,20,1194.629473
0.976094,17,1194.821092
0.9775,16,1194.99861
0.970469,21,1195.271347
0.978906,15,1195.47678
0.973281,19,1195.773983
0.976094,17,1196.034713
0.974688,18,1196.299302
0.978906,15,1196.511675
0.974688,18,1196.773773
0.969063,22,1197.142381
0.976094,17,1197.393901
0.978906,15,1197.591897
0.970469,21,1197.897683
0.969063,22,1198.276303
0.950781,35,1198.781231
0.967656,23,1199.125466
0.959219,29,1199.463302
0.970469,21,1199.710306
0.96625,24,1213.502118
0.962031,27,1213.78846
0.974688,18,1213.968816
0.973281,19,1214.171902
0.969063,22,1214.386899
0.974688,18,1214.56222
0.974688,18,1214.752854
0.971875,20,1214.948892
0.973281,19,1215.157038
0.976094,17,1215.298549
0.970469,21,1215.510522
0.971875,20,1215.703662
0.9775,16,1215.863697
0.971875,20,1216.069968
0.971875,20,1216.269567
0.9775,16,1216.413292
0.967656,23,1216.672537
0.974688,18,1216.883052
0.9775,16,1217.046156
0.962031,27,1217.329772
0.9775,16,1217.500301
0.976094,17,1217.695054
0.984531,11,1217.81648
0.971875,20,1218.031476
0.957812,30,1218.323327
0.962031,27,1218.606934
0.969063,22,1232.512308
0.974688,18,1232.755485
0.970469,21,1233.001224
0.963437,26,1233.307006
0.971875,20,1233.611234
0.980313,14,1233.800386
0.978906,15,1233.988468
0.980313,14,1234.167209
0.9775,16,1234.351478
0.976094,17,1234.558481
0.967656,23,1234.908867
0.9775,16,1235.083718
0.970469,21,1235.411992
0.976094,17,1235.643419
0.973281,19,1235.980092
0.974688,18,1236.182858
0.974688,18,1236.422816
0.9775,16,1236.60665
0.971875,20,1236.904024
0.9775,16,1237.086082
0.980313,14,1237.320641
0.976094,17,1237.573122
0.981719,13,1237.741449
0.970469,21,1237.984935
0.967656,23,1238.35133
0.9775,16,1238.624851
0.962031,27,1239.074504
0.9775,16,1239.288579
0.980313,14,1252.931915
0.978906,15,1253.055917
0.976094,17,1253.264481
0.971875,20,1253.442443
0.967656,23,1253.702412
0.956406,31,1254.162645
0.976094,17,1254.346667
0.983125,12,1254.484618
0.969063,22,1254.715716
0.978906,15,1254.875099
0.973281,19,1255.097576
0.962031,27,1255.402129
0.981719,13,1255.52699
0.963437,26,1255.829908
0.971875,20,1256.10295
0.9775,16,1256.306126
0.967656,23,1256.568339
0.970469,21,1256.823332
0.969063,22,1257.114459
0.9775,16,1257.285289
0.969063,22,1257.485654
0.96625,24,1257.773296
0.964844,25,1258.033799
0.967656,23,1258.349661
0.976094,17,1258.599827
0.971875,20,1274.106238
0.969063,22,1274.355936
0.969063,22,1274.595041
0.967656,23,1274.800931
0.978906,15,1274.956766
0.973281,19,1275.20578
0.967656,23,1275.486862
0.981719,13,1275.637595
0.967656,23,1275.962833
0.974688,18,1276.153415
0.9775,16,1276.342662
0.973281,19,1276.598406
0.980313,14,1276.769545
0.973281,19,1276.998522
0.983125,12,1277.146239
0.970469,21,1277.390092
0.984531,11,1277.587463
0.971875,20,1277.787414
0.9775,16,1278.000222
0.978906,15,1278.118601
0.984531,11,1278.214831
0.976094,17,1278.409643
0.963437,26,1278.757583
0.971875,20,1278.991544
0.971875,20,1279.250723
0.976094,17,1279.410882
0.974688,18,1279.648446
0.980313,14,1279.81666
0.969063,22,1280.074249
0.984531,11,1296.785474
0.978906,15,1296.938155
0.960625,28,1297.384966
0.967656,23,1297.715089
0.973281,19,1297.929994
0.974688,18,1298.102185
0.983125,12,1298.241488
0.973281,19,1298.441995
0.973281,19,1298.644984
0.980313,14,1298.798592
0.981719,13,1298.946474
0.974688,18,1299.129475
0.970469,21,1299.332363
